Name,Total,Usage,Lat,Lon
台北市民權東路6段163巷,24,0.21,25.0692128,121.59604739999997
台北市民權東路6段163巷19弄,8,0.5,25.0688317,121.59649639999998
台北市民權東路6段175巷,13,0.15,25.0687987,121.59703439999998
台北市民權東路6段180巷,13,0.15,25.0672081,121.59269040000004
台北市民權東路6段180巷21巷,13,0.85,25.0676421,121.5926872
台北市民權東路6段180巷41弄,11,0.73,25.0672326,121.5934641
台北市民權東路6段180巷42弄,11,0.27,25.0674657,121.5921075
台北市民權東路6段180巷61弄,8,0.62,25.0666435,121.59347449999996
台北市民權東路6段180巷70弄,15,0.8,25.066729,121.59167539999999
台北市民權東路6段180巷77弄,15,0.2,25.0660048,121.59362929999998
台北市民權東路6段190巷,28,0.39,25.066658,121.594333
台北市民權東路6段190巷35弄,17,0.18,25.0667273,121.59504360000005
台北市民權東路6段190巷65弄,17,0.06,25.0667273,121.59504360000005
台北市民權東路6段191巷,123,0.11,25.0700113,121.59920190000003
台北市民權東路6段191巷20弄,6,0.33,25.0683968,121.5974678
台北市民權東路6段191巷38弄,13,0.38,25.0689101,121.59783930000003
台北市民權東路6段191巷62弄,17,0.06,25.0695774,121.59784480000008
台北市民權東路6段206巷,39,0.03,25.0662102,121.59567179999999
台北市民權東路6段210巷21弄,4,0.25,25.0681067,121.59363759999997
台北市民權東路6段210巷47弄,34,0.24,25.0701844,121.58745569999996
台北市民權東路6段218巷,11,0.73,25.0669458,121.59821520000003
台北市民權東路6段21巷,49,0.8,25.0690003,121.58118220000006
台北市民權東路6段220巷,7,0,25.0690834,121.58920119999993
台北市民權東路6段232巷,4,0.75,25.0665391,121.60045279999997
台北市民權東路6段240巷,8,0.38,25.066605,121.60109069999999
台北市民權東路6段248巷,27,0.3,25.0673164,121.60173170000007
台北市民權東路6段280巷25弄,40,0.22,25.0702325,121.60518439999998
台北市民權東路6段280巷25弄,17,1,25.0702325,121.60518439999998
台北市民權東路6段280巷45弄,24,0.08,25.0698803,121.60564780000004
台北市民權東路6段296巷,8,1,25.0707625,121.60810200000003
台北市民權東路6段56巷,15,1,25.067552,121.5853042
台北市民權東路二段A,10,1,25.0625939,121.5325669
台北市民權東路二段B,4,0.75,25.0625939,121.5325669
台北市民權東路二段C,5,1,25.0625939,121.5325669
台北市民權東路三段,45,0.84,25.062385,121.54395350000004
台北市民權東路三段39巷,37,0.97,25.0642907,121.5425583
台北市民權東路三段A,16,0.38,25.062385,121.54395350000004
台北市民權東路五段,25,0.32,25.0631778,121.56591470000001
台北市民權東路六段,20,0.1,25.0690834,121.58920119999993
台北市民權東路六段,104,0.51,25.0690834,121.58920119999993
台北市民權東路六段15巷,29,0.86,25.0683293,121.57866850000005
台北市民權東路六段19巷,115,0.26,25.0688547,121.57940559999997
台北市民權東路六段245巷,7,0,25.0677441,121.60072000000002
台北市民權東路四段A,65,0.18,25.0620582,121.55576489999999
台北市民權東路四段B,41,0.07,25.0620582,121.55576489999999
台北市永吉路120巷,38,0.92,25.043672,121.57022989999996
台北市永吉路127巷,6,0.67,25.0469905,121.57038080000007
台北市永吉路225巷52弄,5,1,25.0473635,121.57404450000001
台北市永吉路278巷57弄,2,0.5,25.043395,121.57484879999993
台北市永吉路30巷101弄,8,0.62,25.0435354,121.56961339999998
台北市永吉路30巷148弄,1,0,25.0428731,121.56772460000002
台北市永吉路321巷,2,0.5,25.0462041,121.57551149999995
台北市永吉路A,44,1,25.0455687,121.57478409999999
台北市永吉路B,34,0.76,25.0455687,121.57478409999999
台北市永福街,21,0.86,25.077805,121.48058880000008
台北市永興路一、二段,41,0.1,25.1404664,121.50217929999997
台北市汀州路一段A,26,0.62,25.0293416,121.50823009999999
台北市汀州路一段B,32,0.59,25.0293416,121.50823009999999
台北市汀州路二段Y00,18,0.56,25.024804,121.52001769999993
台北市汀州路二段Z00,6,0.83,25.024804,121.52001769999993
台北市汀州路三段,3,1,25.0161185,121.53070969999999
台北市汀州路三段104巷,6,1,25.0130079,121.5337687
台北市汀州路四段,99,0.66,25.0071162,121.53686319999997
台北市汀州路四段23巷,2,1,25.0091026,121.53725050000003
台北市汀洲路2段178巷,7,0.86,25.0233549,121.52193669999997
台北市汀洲路二段,6,0.33,25.024804,121.52001769999993
台北市玉成街,9,1,25.0462461,121.58290510000006
台北市玉成街190巷,10,1,25.0433425,121.58474160000003
台北市玉成街201巷8弄,1,1,25.0442983,121.58601850000002
台北市玉成街A,54,0.44,25.0462461,121.58290510000006
台北市玉門街,29,0.62,25.0717238,121.52042630000005
台北市甘州街,32,0.62,25.0594212,121.51279420000003
台北市立功路,37,0.97,25.125446,121.47133929999995
台北市立德路,63,1,25.1260123,121.47173680000003
台北市伊通街A,10,1,25.0514006,121.53478500000006
台北市伊通街B,10,1,25.0514006,121.53478500000006
台北市伊通街C,12,1,25.0514006,121.53478500000006
台北市光復北路,126,0.6,25.0550396,121.5558158
台北市光復北路11巷,31,0.94,25.0499669,121.56016460000001
台北市光復北路155巷,8,0.5,25.0554717,121.55645649999997
台北市光復北路165巷,15,0.87,25.0572438,121.55542560000004
台北市光復北路177巷,10,0.8,25.0579682,121.55617099999995
台北市光復北路190巷,32,0.78,25.0545536,121.55429860000004
台北市光復北路230巷,17,0.94,25.0562281,121.55416650000006
台北市光復北路26巷,2,1,25.0489666,121.55728010000007
台北市光復南路17巷,2,0,25.0473556,121.55922599999997
台北市光復南路180巷,7,0.71,25.0423751,121.556241
台北市光復南路22巷,18,0.56,25.0469574,121.55580420000001
台北市光復南路32巷,32,0.47,25.0464643,121.55587909999997
台北市光復南路33巷,9,0,25.0467958,121.55870860000005
台北市光復南路456巷,6,0.67,25.0353967,121.55678569999998
台北市光復南路46巷,18,0.94,25.0459551,121.55594640000004
台北市光復南路57巷,1,1,25.0458294,121.55861579999998
台北市光復南路6巷,5,0,25.0475575,121.55702919999999
台北市光復南路72巷23弄,5,0.6,25.0443457,121.55561349999994
台北市光復南路72巷7弄,9,0.89,25.0443244,121.55709890000003
台北市光復南路96巷,21,0.9,25.0439758,121.55615030000001
台北市光復南路A,4,1,25.037495,121.5575096
台北市光復南路B,18,0.67,25.0389439,121.5575437
台北市光輝路,13,0,24.9851087,121.55723160000002
台北市合江街,13,1,25.0585487,121.53919880000001
台北市合江街170巷,1,1,25.0607236,121.53854279999996
台北市吉林路26巷,1,1,25.0514542,121.52896450000003
台北市吉林路A,24,0.96,25.0573101,121.5301895
台北市吉林路B,23,0.7,25.0573101,121.5301895
台北市吉林路C,12,1,25.0573101,121.5301895
台北市吉林路D,12,0.58,25.0573101,121.5301895
台北市吉祥路,6,1,25.0500693,121.56254620000004
台北市同安街,12,1,25.0564552,121.494775
台北市同安街101巷,2,0.5,25.0215257,121.52098249999995
台北市同德路,34,0.94,25.0458378,121.58536939999999
台北市同德路85巷,7,1,25.0462812,121.58569220000004
台北市向陽路,4,0.5,25.0545379,121.59414670000001
台北市向陽路162巷,18,0.56,25.0563448,121.59628470000007
台北市安西街,9,1,25.0606603,121.50990109999998
台北市安和路2段171巷,7,0.71,25.0280145,121.54988219999996
台北市安和路一段A,38,0.89,25.0371693,121.55159149999997
台北市安和路一段B,19,1,25.0371693,121.55159149999997
台北市安和路二段,60,0.88,25.0293407,121.5512539
台北市安和路二段74巷,10,1,25.0302281,121.5515249
台北市安居街,5,1,25.0197551,121.55355209999993
台北市安東街,3,0.67,25.044397,121.54248499999994
台北市安東街16巷,27,0.48,25.0452938,121.54086050000001
台北市安東街40巷,12,0.83,25.0441183,121.54098520000002
台北市安泰街38巷,11,0.73,25.0734478,121.6174992
台北市成功路1段,66,0.86,25.0038003,121.52706480000006
台北市成功路1段36巷,13,0.77,25.0565159,121.59184619999996
台北市成功路2段,78,0.63,25.0689959,121.59141739999995
台北市成功路2段250巷23弄,8,1,25.066611,121.58972930000004
台北市成功路2段273巷,4,1,25.0685864,121.59118940000008
台北市成功路2段317巷,14,0.64,25.0699686,121.5913842
台北市成功路2段317巷50弄,3,0.67,25.0701885,121.59159629999999
台北市成功路2段320巷,10,0.7,25.0676087,121.58917880000001
台北市成功路2段320巷31弄,14,1,25.068224,121.5891904
台北市成功路2段323巷,13,0.92,25.0704314,121.59096360000001
台北市成功路2段426巷,10,0.6,25.0708436,121.58887010000001
台北市成功路3段,57,0.35,25.0784747,121.58971259999998
台北市成功路4段167巷,6,0.83,25.0827394,121.59517749999998
台北市成功路4段182巷6弄,4,1,25.083421,121.59309189999999
台北市成功路4段61巷,35,1,25.0808817,121.59326650000003
台北市成功路4段61巷32弄,28,0.57,25.0811404,121.59421509999993
台北市成功路4段61巷8弄,7,1,25.0818309,121.59305119999999
台北市成功路5段420巷,28,0.93,25.0752651,121.60854670000003
台北市成功路5段420巷23弄,23,0.74,25.0732111,121.60855530000003
台北市成功路5段450巷,24,0.5,25.074332,121.6076564
台北市成功路5段450巷21弄,37,0.59,25.0735231,121.60748760000001
台北市成功路5段450巷22弄,22,0.82,25.075081,121.6078761
台北市成功路二段193巷,3,0.67,25.0665117,121.59130230000005
台北市成功路三段,10,0.4,25.0784747,121.58971259999998
台北市成功路五段,131,0.42,25.0789255,121.6070972
台北市成功路四段,64,0.7,25.0840481,121.59522070000003
台北市成都路A,13,0.62,25.04313,121.50442729999997
台北市成都路B,11,0.09,25.04313,121.50442729999997
台北市成福路,21,0.43,25.0408418,121.58844390000002
台北市成福路178巷,5,1,25.0416107,121.58674789999998
台北市成福路211巷,14,0.21,25.0408418,121.58844390000002
台北市成福路269巷,8,0.25,25.0374493,121.59183910000002
台北市朱崙街,78,0.9,25.049997,121.54044539999995
