Name,Usage,Lat,Lon
台北市民權東路6段218巷,0.73,25.0669458,121.5982152
台北市民權東路6段21巷,0.8,25.0690003,121.5811822
台北市民權東路6段220巷,0,25.0690834,121.5892012
台北市民權東路6段232巷,0.75,25.0665391,121.6004528
台北市民權東路6段240巷,0.38,25.066605,121.6010907
台北市民權東路6段248巷,0.3,25.0673164,121.6017317
台北市民權東路6段280巷25弄,0.22,25.0702325,121.6051844
台北市民權東路6段280巷25弄,1,25.0702325,121.6051844
台北市民權東路6段280巷45弄,0.08,25.0698803,121.6056478
台北市民權東路6段296巷,1,25.0707625,121.608102
台北市民權東路6段56巷,1,25.067552,121.5853042
台北市民權東路二段A,1,25.0625939,121.5325669
台北市民權東路二段B,0.75,25.0625939,121.5325669
台北市民權東路二段C,1,25.0625939,121.5325669
台北市民權東路三段,0.84,25.062385,121.5439535
台北市民權東路三段39巷,0.97,25.0642907,121.5425583
台北市民權東路三段A,0.38,25.062385,121.5439535
台北市民權東路五段,0.32,25.0631778,121.5659147
台北市民權東路六段,0.1,25.0690834,121.5892012
台北市民權東路六段,0.51,25.0690834,121.5892012
台北市民權東路六段15巷,0.86,25.0683293,121.5786685
台北市民權東路六段19巷,0.26,25.0688547,121.5794056
台北市民權東路六段245巷,0,25.0677441,121.60072
台北市民權東路四段A,0.18,25.0620582,121.5557649
台北市民權東路四段B,0.07,25.0620582,121.5557649
台北市永吉路120巷,0.92,25.043672,121.5702299
台北市永吉路127巷,0.67,25.0469905,121.5703808
台北市永吉路225巷52弄,1,25.0473635,121.5740445
台北市永吉路278巷57弄,0.5,25.043395,121.5748488
台北市永吉路30巷101弄,0.62,25.0435354,121.5696134
台北市永吉路30巷148弄,0,25.0428731,121.5677246
台北市永吉路321巷,0.5,25.0462041,121.5755115
台北市永吉路A,1,25.0455687,121.5747841
台北市永吉路B,0.76,25.0455687,121.5747841
台北市永興路一、二段,0.1,25.1404664,121.5021793
台北市汀州路一段A,0.62,25.0293416,121.5082301
台北市汀州路一段B,0.59,25.0293416,121.5082301
台北市汀州路二段Y00,0.56,25.024804,121.5200177
台北市汀州路二段Z00,0.83,25.024804,121.5200177
台北市汀州路三段,1,25.0161185,121.5307097
台北市汀州路三段104巷,1,25.0130079,121.5337687
台北市汀州路四段,0.66,25.0071162,121.5368632
台北市汀州路四段23巷,1,25.0091026,121.5372505
台北市汀洲路2段178巷,0.86,25.0233549,121.5219367
台北市汀洲路二段,0.33,25.024804,121.5200177
台北市玉成街,1,25.0462461,121.5829051
台北市玉成街190巷,1,25.0433425,121.5847416
台北市玉成街201巷8弄,1,25.0442983,121.5860185
